Driver,n_laps,n_seasons,n_sessions
LEC,145,8,145
HAM,144,8,144
SAI,144,8,144
VER,144,8,144
GAS,143,8,143
STR,135,8,135
NOR,128,7,128
RUS,128,7,128
BOT,123,7,123
OCO,121,7,121
PER,121,7,121
RIC,108,7,108
ALO,108,6,108
ALB,106,6,106
MAG,101,6,101
HUL,98,7,98
TSU,88,5,88
VET,88,5,88
RAI,72,4,72
PIA,55,3,55
GIO,54,3,54
LAT,52,3,52
GRO,50,3,50
ZHO,49,3,49
KVY,35,2,35
MSC,34,2,34
LAW,31,3,31
COL,24,2,24
BEA,23,2,23
SAR,23,2,23
ANT,22,1,22
KUB,21,2,21
BOR,21,1,21
HAD,21,1,21
MAZ,20,1,20
ERI,15,1,15
VAN,15,1,15
SIR,14,1,14
HAR,12,1,12
DEV,7,2,7
DOO,7,2,7
FIT,2,1,2
AIT,1,1,1
