config_name,config_type,family,n_features
full_model,full,all,64
only_context,family_only,context,3
only_speed,family_only,speed,11
only_throttle,family_only,throttle,13
only_brake,family_only,brake,6
only_powertrain,family_only,powertrain,12
only_phase,family_only,phase,4
only_dynamics,family_only,dynamics,15
only_controls,family_only,controls,23
only_vehicle_state,family_only,vehicle_state,38
no_context,leave_one_out,context,61
no_speed,leave_one_out,speed,53
no_throttle,leave_one_out,throttle,51
no_brake,leave_one_out,brake,58
no_powertrain,leave_one_out,powertrain,52
no_phase,leave_one_out,phase,60
no_dynamics,leave_one_out,dynamics,49
