family,feature
context,Compound
context,TyreLife
context,n_samples
speed,speed_mean
speed,speed_std
speed,speed_min
speed,speed_max
speed,speed_median
speed,speed_range
speed,speed_cv
speed,speed_p10
speed,speed_p25
speed,speed_p75
speed,speed_p90
throttle,throttle_mean
throttle,throttle_std
throttle,throttle_max
throttle,throttle_median
throttle,throttle_zero_frac
throttle,throttle_low_frac
throttle,throttle_mid_frac
throttle,throttle_high_frac
throttle,throttle_full_frac
throttle,throttle_p10
throttle,throttle_p25
throttle,throttle_p75
throttle,throttle_p90
brake,brake_mean
brake,brake_std
brake,brake_max
brake,brake_active_frac
brake,brake_on_count
brake,brake_p90
powertrain,rpm_mean
powertrain,rpm_std
powertrain,rpm_min
powertrain,rpm_max
powertrain,rpm_median
powertrain,rpm_cv
powertrain,gear_mean
powertrain,gear_std
powertrain,gear_min
powertrain,gear_max
powertrain,gear_median
powertrain,gear_change_count
phase,first_brake_frac_pos
phase,last_brake_frac_pos
phase,first_full_throttle_frac_pos
phase,last_full_throttle_frac_pos
dynamics,speed_diff_mean
dynamics,speed_diff_std
dynamics,speed_diff_abs_mean
dynamics,speed_diff_abs_max
dynamics,throttle_diff_mean
dynamics,throttle_diff_std
dynamics,throttle_diff_abs_mean
dynamics,throttle_diff_abs_max
dynamics,brake_diff_std
dynamics,brake_diff_abs_mean
dynamics,brake_diff_abs_max
dynamics,rpm_diff_mean
dynamics,rpm_diff_std
dynamics,rpm_diff_abs_mean
dynamics,rpm_diff_abs_max
