Driver,n_lap_rows,n_sessions,n_seasons,n_q_sessions,n_r_sessions,avg_sessions_per_season,avg_lap_rows_per_session
BOT,7013,187,5,1776,5237,37.4,37.50267379679144
SAI,6685,187,5,1636,5049,37.4,35.74866310160428
RIC,6609,187,5,1504,5105,37.4,35.342245989304814
GAS,6501,187,5,1578,4923,37.4,34.76470588235294
LEC,6476,187,5,1676,4800,37.4,34.63101604278075
VER,6564,186,5,1547,5017,37.2,35.29032258064516
HAM,7279,185,5,1830,5449,37.0,39.34594594594594
STR,6155,185,5,1123,5032,37.0,33.270270270270274
VET,6647,183,5,1474,5173,36.6,36.322404371584696
PER,6533,183,5,1492,5041,36.6,35.69945355191257
RAI,5522,158,4,1109,4413,39.5,34.949367088607595
NOR,5393,145,4,1356,4037,36.25,37.19310344827586
RUS,4911,145,4,1012,3899,36.25,33.86896551724138
OCO,4945,144,4,1175,3770,36.0,34.34027777777778
MAG,4828,143,4,1022,3806,35.75,33.76223776223776
HUL,3005,94,4,657,2348,23.5,31.96808510638298
GIO,4118,120,3,755,3363,40.0,34.31666666666667
GRO,3697,113,3,775,2922,37.666666666666664,32.716814159292035
ALO,3738,111,3,851,2887,37.0,33.67567567567568
LAT,3246,103,3,501,2745,34.333333333333336,31.514563106796118
ALB,3647,100,3,771,2876,33.333333333333336,36.47
KVY,2719,75,2,540,2179,37.5,36.25333333333333
TSU,2186,68,2,504,1682,34.0,32.14705882352941
MSC,2112,66,2,406,1706,33.0,32.0
KUB,1492,46,2,189,1303,23.0,32.43478260869565
MAZ,1216,43,1,203,1013,43.0,28.27906976744186
VAN,1420,42,1,216,1204,42.0,33.80952380952381
ERI,1360,42,1,264,1096,42.0,32.38095238095238
SIR,1322,42,1,200,1122,42.0,31.476190476190474
HAR,1228,40,1,225,1003,40.0,30.7
ZHO,735,25,1,199,536,25.0,29.4
FIT,160,4,1,20,140,4.0,40.0
AIT,96,2,1,9,87,2.0,48.0
