Driver,Team,n_lap_rows,n_sessions
AIT,Williams,96,2
ALB,Red Bull Racing,1951,52
ALB,Williams,1349,42
ALB,Toro Rosso,914,23
ALO,Alpine,3104,88
ALO,McLaren,1264,42
BOT,Mercedes,6120,162
BOT,Alfa Romeo,1469,44
DEV,Williams,66,2
ERI,Sauber,1360,42
FIT,Haas F1 Team,160,4
GAS,AlphaTauri,4305,122
GAS,Toro Rosso,1998,60
GAS,Red Bull Racing,914,24
GIO,Alfa Romeo Racing,4118,120
GRO,Haas F1 Team,3697,113
HAM,Mercedes,7995,204
HAR,Toro Rosso,1228,40
HUL,Renault,2727,84
HUL,Racing Point,155,6
HUL,Aston Martin,123,4
KUB,Williams,1353,42
KUB,Alfa Romeo Racing,139,4
KVY,Toro Rosso,1476,41
KVY,AlphaTauri,1243,34
LAT,Williams,3842,122
LEC,Ferrari,5802,164
LEC,Sauber,1406,42
MAG,Haas F1 Team,5449,162
MAZ,Haas F1 Team,1216,43
MSC,Haas F1 Team,2805,85
NOR,McLaren,6125,164
OCO,Alpine,3076,87
OCO,Renault,1140,34
OCO,Force India,811,24
OCO,Racing Point,595,18
PER,Red Bull Racing,3212,88
PER,Racing Point,3157,90
PER,Force India,900,24
RAI,Alfa Romeo Racing,4032,116
RAI,Ferrari,1490,42
RIC,McLaren,3183,88
RIC,Renault,2702,76
RIC,Red Bull Racing,1340,42
RUS,Williams,3860,118
RUS,Mercedes,1802,46
SAI,Ferrari,3144,88
SAI,McLaren,2661,76
SAI,Renault,1528,42
SIR,Williams,1322,42
STR,Aston Martin,2965,88
STR,Racing Point,2488,74
STR,Williams,1354,42
TSU,AlphaTauri,2812,87
VAN,McLaren,1420,42
VER,Red Bull Racing,7285,205
VET,Ferrari,4323,118
VET,Aston Martin,2976,84
ZHO,Alfa Romeo,1378,44
