experiment,model,n_samples,n_drivers,n_features,n_sessions,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_train_accuracy,mean_test_accuracy,mean_train_macro_f1,mean_test_macro_f1,mean_accuracy_gap,mean_macro_f1_gap
style_core_no_time_no_race_context,logistic_regression,4334,5,40,18,0.8177203507152746,0.8185794824390127,0.8177186595151428,0.978473373900966,0.826681517146597,0.9787848170700638,0.8243255130353665,0.15179185675436901,0.15445930403469732
without_time_features,logistic_regression,4334,5,44,18,0.817258883248731,0.8181200644510687,0.8169554350147635,0.9817427379273533,0.8274928107004523,0.9820374706389771,0.82275734126233,0.154249927226901,0.15928012937664704
full_race_context,logistic_regression,4334,5,45,18,0.8167974157821873,0.8179650672703028,0.816618711686807,0.9819535773807303,0.8261201284708959,0.9822479257928333,0.8223281213699893,0.15583344890983442,0.15991980442284393
full_race_context,hist_gradient_boosting,4334,5,45,18,0.6670512228887864,0.6662478882210756,0.6677799458528203,1.0,0.676374018332991,1.0,0.6682165928666155,0.32362598166700896,0.3317834071333845
style_core_no_time_no_race_context,hist_gradient_boosting,4334,5,40,18,0.6628980156898938,0.6624162822422641,0.6636065759009047,1.0,0.6723194537654293,1.0,0.6606381641341692,0.32768054623457066,0.3393618358658308
full_race_context,xgboost,4334,5,45,18,0.6585140747577296,0.6575308936021178,0.6583001287019413,1.0,0.6690081007484704,1.0,0.6586842019148119,0.3309918992515296,0.3413157980851881
without_time_features,hist_gradient_boosting,4334,5,44,18,0.6555145362251962,0.6550976908750538,0.6569117175182895,1.0,0.6650440552765952,1.0,0.6552662076501644,0.33495594472340484,0.3447337923498356
style_core_no_time_no_race_context,xgboost,4334,5,40,18,0.656898938624827,0.6554989327387293,0.6560695344056657,1.0,0.6668289361228604,1.0,0.6554373686006808,0.3331710638771396,0.3445626313993192
without_time_features,xgboost,4334,5,44,18,0.6527457314259345,0.6517317979126951,0.6523167332587776,1.0,0.6625243357053566,1.0,0.6521954531240769,0.3374756642946434,0.3478045468759231
style_core_no_time_no_race_context,random_forest,4334,5,40,18,0.631979695431472,0.6303184886672909,0.6295709647860186,1.0,0.6392276486606271,1.0,0.6238828788897071,0.3607723513393729,0.37611712111029294
full_race_context,random_forest,4334,5,45,18,0.630826026765113,0.6290035972842876,0.6287050710074351,1.0,0.6369504743090711,1.0,0.6223312916811867,0.36304952569092885,0.3776687083188133
without_time_features,random_forest,4334,5,44,18,0.6303645592985695,0.6284085951517973,0.6285097977845826,1.0,0.636014105374738,1.0,0.62215808899079,0.363985894625262,0.37784191100921005
