setup,model,fold,epochs_trained,best_val_loss,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
race_2025_top5,cnn,1,18,0.21268245577812195,0.9512406231967686,0.8456221198156681,0.9507030646472924,0.8712195121951221,0.9506365086259239,0.8635589747705457
race_2025_top5,cnn,2,19,0.7142895460128784,0.922893718368562,0.8564102564102564,0.9216876964278367,0.856582580573213,0.9232236242891523,0.8577424635975419
race_2025_top5,cnn,3,22,0.23820197582244873,0.9701583434835567,0.7647619047619048,0.970766463053095,0.7663701421674938,0.9707331405682718,0.7667159049590637
race_2025_top5,cnn,4,46,0.16855129599571228,0.9861649142224682,0.9013888888888889,0.9862308622538791,0.9030078465562337,0.9864211362676792,0.9004798219118012
race_2025_top5,cnn,5,37,0.32830631732940674,0.9748131746471077,0.9181692094313454,0.975141873886125,0.9249930317324185,0.9756505314579063,0.9136410092440543
race_2025_top5,hybrid_cnn_tabular,1,25,0.22609016299247742,0.9826889786497404,0.9043778801843319,0.9824381131091474,0.9196761230958559,0.9824895346011273,0.904585536459565
race_2025_top5,hybrid_cnn_tabular,2,12,0.9535852074623108,0.8710925870794879,0.8061538461538461,0.8708477948600031,0.8034972677595628,0.8709145138782091,0.8033332377237027
race_2025_top5,hybrid_cnn_tabular,3,32,0.13320063054561615,0.9881242387332522,0.8028571428571428,0.9885223385964027,0.8015653116009606,0.9884132694345217,0.8039513751727492
race_2025_top5,hybrid_cnn_tabular,4,35,0.4327147603034973,0.9737133370226896,0.8875,0.973913157623522,0.8876990317992016,0.9736053590291036,0.8873066928454701
race_2025_top5,hybrid_cnn_tabular,5,24,0.5211891531944275,0.9631884860226958,0.8918169209431346,0.9625192602398821,0.8906044525443111,0.9632648833114501,0.8847766785619285
race_2025_top5,gru,1,41,0.6350918412208557,0.7720715522215811,0.5910138248847926,0.7680146104401382,0.6356602465209341,0.7657692185545926,0.6303838803842379
race_2025_top5,gru,2,22,1.5440921783447266,0.3590354272104793,0.29743589743589743,0.34643519542803575,0.29496130255380837,0.29295430682676543,0.23532019368775278
race_2025_top5,gru,3,27,0.7295049428939819,0.7302070645554202,0.5942857142857143,0.7339110239590486,0.5967070637233495,0.7248286910865318,0.6040609116321887
race_2025_top5,gru,4,36,0.7065076231956482,0.6950747094631987,0.6319444444444444,0.7020044663519839,0.6154017345019043,0.7031883533797139,0.606243194850869
race_2025_top5,gru,5,60,0.6737133860588074,0.8998062551895931,0.8474341192787794,0.903139114462367,0.8210877776718972,0.9017830137727746,0.8306263318405923
race_2025_top5,lstm,1,11,1.5224217176437378,0.27380265435660706,0.3076036866359447,0.26968428563773295,0.2838264894979011,0.2068614910232121,0.2186326226052279
race_2025_top5,lstm,2,17,1.5157427787780762,0.343852337005061,0.26256410256410256,0.33131844381790837,0.26122448979591834,0.2083332921039748,0.15901380469665324
race_2025_top5,lstm,3,22,1.1855415105819702,0.5328867235079172,0.38571428571428573,0.5248675037884799,0.3861758433877611,0.510473042725883,0.34045379899145695
race_2025_top5,lstm,4,11,1.5797944068908691,0.2523519645821804,0.2652777777777778,0.24556801730399305,0.2672257146790254,0.17243599635753498,0.19342404408031516
race_2025_top5,lstm,5,56,1.0693693161010742,0.7722114586216441,0.5852981969486823,0.7723739689531468,0.5902556619655676,0.775750603307776,0.5881094228547779
