season,session_name,n_sessions,n_laps_rows_total,n_laps_rows_mean,n_unique_drivers_mean
2018,Q,21,6054,288.2857142857143,19.80952380952381
2018,R,21,22337,1063.6666666666667,20.0
2019,Q,21,6084,289.7142857142857,19.904761904761905
2019,R,21,23676,1127.4285714285713,20.0
2020,Q,17,5215,306.7647058823529,20.0
2020,R,17,18352,1079.5294117647059,20.0
2021,Q,22,6887,313.04545454545456,19.90909090909091
2021,R,22,23758,1079.909090909091,19.954545454545453
2022,Q,22,6985,317.5,19.954545454545453
2022,R,22,23577,1071.6818181818182,19.90909090909091
