feature,setup,mean,std,p25,median,p75
speed_mean,Kwalifikacje 2023-2025,221.48550248117903,22.16913765856924,208.14720812182745,222.9047619047619,237.2
speed_mean,Kwalifikacje 2018-2025,222.22111473309891,21.6438448785518,210.51403394255874,221.63986013986016,239.09152255915347
speed_mean,Wyścigi 2025,206.19331299304386,21.724593979837007,195.06801593337292,204.25343449280953,221.6276643554186
speed_std,Kwalifikacje 2023-2025,69.24988950856017,8.821636753776943,63.11372067190931,68.31865386436385,73.38007467841166
speed_std,Kwalifikacje 2018-2025,68.20403066971411,8.111857626330712,62.866279805872594,68.11465630488318,71.955866910064
speed_std,Wyścigi 2025,68.51454498876032,8.247735903660715,62.60308483535735,67.32817345708868,74.49369939974385
throttle_full_frac,Kwalifikacje 2023-2025,0.6095768761669742,0.08499378876809291,0.5555555555555556,0.6139896373056994,0.673728813559322
throttle_full_frac,Kwalifikacje 2018-2025,0.6113213960859786,0.09834448098130599,0.5633912367124708,0.6216640502354789,0.6817717996289424
throttle_full_frac,Wyścigi 2025,0.48779637723648683,0.11191626078465756,0.4280760429501848,0.4904632152588556,0.5664109460643478
throttle_zero_frac,Kwalifikacje 2023-2025,0.14419581580049864,0.06374788426061896,0.1074626865671641,0.144927536231884,0.1869688385269121
throttle_zero_frac,Kwalifikacje 2018-2025,0.13364930916199558,0.06409488318801082,0.0909090909090909,0.1349227287948127,0.17567783094098877
throttle_zero_frac,Wyścigi 2025,0.18377485270096924,0.0626615211833351,0.1380502789084878,0.18156022088773682,0.22873116188624207
brake_active_frac,Kwalifikacje 2023-2025,0.1832949948888693,0.04045988705678692,0.1508771929824561,0.1813031161473088,0.2105263157894736
brake_active_frac,Kwalifikacje 2018-2025,0.17380520145310163,0.04097680490409182,0.1432975376728289,0.16937528054286688,0.1982507288629737
brake_active_frac,Wyścigi 2025,0.21661950341475164,0.047862498328280816,0.1828571428571428,0.21346671923253824,0.2463768115942029
gear_mean,Kwalifikacje 2023-2025,5.6502615218783205,0.5978223412067917,5.341954022988506,5.704180064308682,6.068111455108359
gear_mean,Kwalifikacje 2018-2025,5.661458638281422,0.5889296702104212,5.371187262286524,5.663619324735242,6.089510522607041
gear_mean,Wyścigi 2025,5.332799716788297,0.571530191883732,5.07039295392954,5.339658131957364,5.718484749556945
