setup,feature,missing_frac
Kwalifikacje 2023-2025,TyreLife,0.003663003663003663
Kwalifikacje 2023-2025,LapTimeSeconds,0.0
Kwalifikacje 2023-2025,Sector1TimeSeconds,0.0
Kwalifikacje 2023-2025,Sector2TimeSeconds,0.0
Kwalifikacje 2023-2025,Sector3TimeSeconds,0.0
Kwalifikacje 2023-2025,n_samples,0.0
Kwalifikacje 2023-2025,speed_mean,0.0
Kwalifikacje 2023-2025,speed_std,0.0
Kwalifikacje 2023-2025,speed_min,0.0
Kwalifikacje 2023-2025,speed_max,0.0
Kwalifikacje 2018-2025,n_samples,0.0
Kwalifikacje 2018-2025,speed_mean,0.0
Kwalifikacje 2018-2025,speed_std,0.0
Kwalifikacje 2018-2025,speed_min,0.0
Kwalifikacje 2018-2025,speed_max,0.0
Kwalifikacje 2018-2025,speed_q10,0.0
Kwalifikacje 2018-2025,speed_q50,0.0
Kwalifikacje 2018-2025,speed_q90,0.0
Kwalifikacje 2018-2025,speed_range,0.0
Kwalifikacje 2018-2025,throttle_mean,0.0
Wyścigi 2025,n_samples,0.0
Wyścigi 2025,speed_mean,0.0
Wyścigi 2025,speed_std,0.0
Wyścigi 2025,speed_min,0.0
Wyścigi 2025,speed_max,0.0
Wyścigi 2025,speed_q10,0.0
Wyścigi 2025,speed_q50,0.0
Wyścigi 2025,speed_q90,0.0
Wyścigi 2025,speed_range,0.0
Wyścigi 2025,throttle_mean,0.0
